,問題,回答,,,
68,這是為什麼？,我真的很喜歡雨水淨化空氣的感覺。,,,
69,我真的很喜歡雨水淨化空氣的感覺。,我也是。雨後的空氣總是那麼清新。,,,
70,我也是。雨後的空氣總是那麼清新。,是的，但我喜歡雨後夜晚的空氣。,,,
71,是的，但我喜歡雨後夜晚的空氣。,真的嗎？為什麼？,,,
72,真的嗎？為什麼？,因為你可以完美地看到星星。,,,
73,因為你可以完美地看到星星。,我真希望今天能下雨。,,,
74,我真希望今天能下雨。,我也是。,,,
75,這不是美好的一天嗎？,確實如此。,,,
76,確實如此。,看來今天可能會下雨。,,,
77,看來今天可能會下雨。,希望會的。,,,
78,希望會的。,怎麼會？,,,
79,怎麼會？,我喜歡雨後天空變得多麼晴朗。,,,
80,我喜歡雨後天空變得多麼晴朗。,我有同樣的感覺。雨後的味道真香。,,,
81,我有同樣的感覺。雨後的味道真香。,我特別喜歡下雨時夜晚的空氣。,,,
82,我特別喜歡下雨時夜晚的空氣。,真的嗎？為什麼？,,,
83,真的嗎？為什麼？,雨後星星看起來更近了。,,,
84,雨後星星看起來更近了。,我真希望今天下雨。,,,
85,我真希望今天下雨。,是的，我也一樣。,,,
86,你不覺得外面很好嗎？,是的，我也這麼認為。,,,
87,是的，我也這麼認為。,我想天要下雨了。,,,
88,我想天要下雨了。,我希望真的下雨。,,,
89,我希望真的下雨。,你喜歡下雨嗎？,,,
90,你喜歡下雨嗎？,雨後的天空顯得那麼乾淨。我喜歡它。,,,
91,雨後的天空顯得那麼乾淨。我喜歡它。,我明白。雨確實會讓氣味變得更乾淨。,,,
92,我明白。雨確實會讓氣味變得更乾淨。,我最喜歡雨後夜晚的樣子。,,,
93,我最喜歡雨後夜晚的樣子。,怎麼會？,,,
94,怎麼會？,下雨後你可以更清楚地看到星星。,,,
95,下雨後你可以更清楚地看到星星。,我希望今天下雨。,,,
96,這個週末我真的很想去海灘。,這聽起來很有趣。天氣會怎樣？,,,
97,這聽起來很有趣。天氣會怎樣？,我聽說這個週末天氣會很溫暖。,,,
98,我聽說這個週末天氣會很溫暖。,海灘天氣會是完美的嗎？,,,
99,海灘天氣會是完美的嗎？,我相信是這樣。,,,
100,我相信是這樣。,好的。我希望這個週末不要變冷。,,,
101,好的。我希望這個週末不要變冷。,我知道。我真的很想去海灘。,,,
102,我知道。我真的很想去海灘。,但你知道加州的天氣真的很難預測。,,,
103,但你知道加州的天氣真的很難預測。,你說得對。前一分鐘還熱，下一分鐘就冷了。,,,
104,你說得對。前一分鐘還熱，下一分鐘就冷了。,我真的希望天氣保持不變。,,,
105,我真的希望天氣保持不變。,我也做。這樣我們就可以提前規劃我們的活動。,,,
106,我也做。這樣我們就可以提前規劃我們的活動。,是的，這會讓事情變得容易得多。,,,
107,這個週末我想去海灘旅行。,去海灘旅行會很有趣。天氣怎麼樣？,,,
108,去海灘旅行會很有趣。天氣怎麼樣？,天氣預報說週末天氣會很溫暖。,,,
109,天氣預報說週末天氣會很溫暖。,那你認為現在的天氣適合去海邊嗎？,,,
110,那你認為現在的天氣適合去海邊嗎？,聽起來好像會是這樣。,,,
111,聽起來好像會是這樣。,我真的希望它不會變冷。,,,
112,我真的希望它不會變冷。,那會毀掉一切，我非常想去。,,,
113,那會毀掉一切，我非常想去。,加州的天氣難以預測，所以你永遠不知道。,,,
114,加州的天氣難以預測，所以你永遠不知道。,那是真實的。天氣不斷變化。,,,
115,那是真實的。天氣不斷變化。,如果天氣永遠不變就好了。,,,
116,如果天氣永遠不變就好了。,那太好了，這樣我們就可以更快地計劃事情了。,,,
117,那太好了，這樣我們就可以更快地計劃事情了。,真的。可預測的天氣將使生活更輕鬆。,,,
118,這個週末如果能去海灘就好了。,天氣會怎樣？我可能也想去。,,,
119,天氣會怎樣？我可能也想去。,這個週末的天氣應該會很溫暖。,,,
120,這個週末的天氣應該會很溫暖。,海灘天氣會好嗎？,,,
121,海灘天氣會好嗎？,我認為這將是。,,,
122,我認為這將是。,如果這個週末冷了那就不好了。,,,
123,如果這個週末冷了那就不好了。,我希望這次旅行是完美的，希望它保持溫暖。,,,
124,我希望這次旅行是完美的，希望它保持溫暖。,加州的天氣如此不確定，不可能知道會發生什麼事。,,,
125,加州的天氣如此不確定，不可能知道會發生什麼事。,我知道。每天的天氣似乎都不一樣。,,,
126,我知道。每天的天氣似乎都不一樣。,如果它不是總是那麼不可預測的話，我會喜歡它。,,,
127,如果它不是總是那麼不可預測的話，我會喜歡它。,這將使我們更容易制定計劃。,,,
128,你好，我可以和愛麗絲通話嗎？,這就是她。怎麼樣了？,,,
129,這就是她。怎麼樣了？,我一整天都在試著打電話給你。,,,
130,我一整天都在試著打電話給你。,對於那個很抱歉。我正在打掃。,,,
131,對於那個很抱歉。我正在打掃。,沒關係。,,,
132,沒關係。,那你打電話給我幹什麼？,,,
133,那你打電話給我幹什麼？,哦，我只是想看看你明天是否願意出去玩。,,,
134,哦，我只是想看看你明天是否願意出去玩。,當然，你想做什麼？,,,
135,當然，你想做什麼？,也許我們可以去看電影什麼的。,,,
136,也許我們可以去看電影什麼的。,這聽起來很有趣。我們開始做吧。,,,
137,這聽起來很有趣。我們開始做吧。,那麼明天見。,,,
138,那麼明天見。,回頭見。再見。,,,
139,你好你好嗎。愛麗絲在嗎？,請講。這是怎麼回事？,,,
140,請講。這是怎麼回事？,為什麼不接電話？,,,
141,為什麼不接電話？,我的錯，我還有家事要做。,,,
142,我的錯，我還有家事要做。,沒關係。,,,
143,沒關係。,您打電話的原因是什麼？,,,
144,您打電話的原因是什麼？,明天我想和你一起做點什麼。,,,
145,明天我想和你一起做點什麼。,聽起來不錯。你有什麼想法？,,,
146,聽起來不錯。你有什麼想法？,我正在考慮去看電影。,,,
147,我正在考慮去看電影。,好吧，我們去看電影吧。,,,
148,好吧，我們去看電影吧。,直到那時。,,,
149,直到那時。,我們回聊。,,,
150,愛麗絲有空嗎？,你正在和她說話。,,,
151,你正在和她說話。,今天我已經打了一百通電話給你了。,,,
152,今天我已經打了一百通電話給你了。,我正忙著做某件事。我道歉。,,,
153,我正忙著做某件事。我道歉。,沒問題。,,,
154,沒問題。,你需要什麼嗎？,,,
155,你需要什麼嗎？,你明天想做點什麼嗎？,,,
156,你明天想做點什麼嗎？,有什麼特別想去的地方嗎？,,,
157,有什麼特別想去的地方嗎？,看電影怎麼樣？,,,
158,看電影怎麼樣？,電影聽起來不錯。,,,
159,電影聽起來不錯。,那麼明天就打電話給我。,,,
160,你看到學校新來的女孩了嗎？,不，我沒有。,,,
161,不，我沒有。,她真的很漂亮。,,,
162,她真的很漂亮。,向我描述一下她。,,,
163,向我描述一下她。,她不太高。,,,
164,她不太高。,嗯，她有多高？,,,
165,嗯，她有多高？,她大約有五英尺高。,,,
166,她大約有五英尺高。,但她長什麼樣子呢？,,,
167,但她長什麼樣子呢？,她有一雙漂亮的淺棕色眼睛。,,,
168,她有一雙漂亮的淺棕色眼睛。,我可能知道你說的是哪個女孩。,,,
169,我可能知道你說的是哪個女孩。,那你見過她嗎？,,,
170,那你見過她嗎？,是的，我有。,,,
171,學校裡來了一個新女孩，你有見過她嗎？,我還沒見過她。,,,
172,我還沒見過她。,我認為她很漂亮。,,,
173,我認為她很漂亮。,告訴我她看起來怎麼樣。,,,
174,告訴我她看起來怎麼樣。,她有點矮。,,,
175,她有點矮。,她有多高？,,,
176,她有多高？,她大概有五英尺高。,,,
177,她大概有五英尺高。,很好，但請告訴我她長什麼樣子。,,,
178,很好，但請告訴我她長什麼樣子。,我注意到的第一件事是她美麗的棕色眼睛。,,,
179,我注意到的第一件事是她美麗的棕色眼睛。,我想我以前可能碰見過她。,,,
180,我想我以前可能碰見過她。,你是在告訴我你以前見過她嗎？,,,
181,你是在告訴我你以前見過她嗎？,我相信是這樣。,,,
182,你有看過新來的女孩嗎？,不。你？,,,
183,不。你？,她是學校最漂亮的女孩之一。,,,
184,她是學校最漂亮的女孩之一。,她長什麼樣子？,,,
185,她長什麼樣子？,嗯，她很矮。,,,
186,嗯，她很矮。,你說她有多高？,,,
187,你說她有多高？,我想說她只有五英尺。,,,
188,我想說她只有五英尺。,她的臉部特徵怎麼樣？,,,
189,她的臉部特徵怎麼樣？,她有一雙淺棕色的眼睛，非常漂亮。,,,
190,她有一雙淺棕色的眼睛，非常漂亮。,我想我知道你在說誰。,,,
191,我想我知道你在說誰。,你有看見她嗎？,,,
192,你昨天為什麼沒來學校？,我真的覺得不太舒服。,,,
193,我真的覺得不太舒服。,你怎麼了？,,,
194,你怎麼了？,我的胃不舒服。,,,
195,我的胃不舒服。,你現在感覺好些了？,,,
196,你現在感覺好些了？,我真的感覺不太好。,,,
197,我真的感覺不太好。,你想要什麼東西讓你感覺好一點嗎？,,,
198,你想要什麼東西讓你感覺好一點嗎？,不，謝謝。我已經吃了一些藥。,,,
199,不，謝謝。我已經吃了一些藥。,我希望你好點了。,,,
200,我希望你好點了。,謝謝。,,,
201,你有什麼理由缺課？,我生病了。,,,
202,我生病了。,你病得怎麼樣？,,,
203,你病得怎麼樣？,我胃痛。,,,
204,我胃痛。,情況有好轉嗎？,,,
205,情況有好轉嗎？,我還是覺得不舒服。,,,
206,我還是覺得不舒服。,你想吃點什麼來調理一下胃嗎？,,,
207,你想吃點什麼來調理一下胃嗎？,我早些時候拿了一些東西。,,,
208,我早些時候拿了一些東西。,好轉。,,,
209,好轉。,多謝。,,,
210,你昨天為什麼沒去學校？,我待在家裡，因為我覺得不舒服。,,,
211,我待在家裡，因為我覺得不舒服。,你的問題是什麼？,,,
212,你的問題是什麼？,我的胃很困擾我。,,,
213,我的胃很困擾我。,你感覺好些了嗎？,,,
214,你感覺好些了嗎？,我還是覺得有點不舒服。,,,
215,我還是覺得有點不舒服。,我要去商店，你想要點 pepto bismol 嗎？,,,
216,我要去商店，你想要點 pepto bismol 嗎？,沒關係。,,,
217,沒關係。,我希望你好點了。,,,
218,你聽到好消息了嗎？,不，我沒有。,,,
219,不，我沒有。,我的工作得到了升遷。,,,
220,我的工作得到了升遷。,你真的？,,,
221,你真的？,說真的，我很興奮。,,,
222,說真的，我很興奮。,好吧，恭喜。,,,
223,好吧，恭喜。,謝謝。,,,
224,謝謝。,我為你很高興。,,,
225,我為你很高興。,真的嗎？,,,
226,真的嗎？,是的。你真的應得的。,,,
227,是的。你真的應得的。,你這麼認為嗎？,,,
228,你這麼認為嗎？,是的。對你有好處。,,,
229,你聽到我的好消息了嗎？,你還沒有告訴我任何事。,,,
230,你還沒有告訴我任何事。,本週早些時候我得到了升職。,,,
231,本週早些時候我得到了升職。,是對的嗎？,,,
232,是對的嗎？,真的。我很開心。,,,
233,真的。我很開心。,恭喜您晉升。,,,
234,恭喜您晉升。,非常感謝。,,,
235,非常感謝。,我真的為你感到興奮。,,,
236,我真的為你感到興奮。,你真的？,,,
237,你真的？,我是認真的。您應得的這次晉升。,,,
238,我是認真的。您應得的這次晉升。,你真的是這麼想的嗎？,,,
239,你真的是這麼想的嗎？,是的，我願意。,,,
240,我還沒告訴你發生了什麼事吧？,我什麼也沒聽到。,,,
241,我什麼也沒聽到。,我的老闆給了我升職的機會，我接受了。,,,
242,我的老闆給了我升職的機會，我接受了。,你是認真的？,,,
243,你是認真的？,是的，我真的很興奮。,,,
244,是的，我真的很興奮。,那太棒了。恭喜。,,,
245,那太棒了。恭喜。,我很感激。,,,
246,我很感激。,你不知道我為你感到多麼高興。,,,
247,你不知道我為你感到多麼高興。,真正的？,,,
248,你今天看起來真不錯。,謝謝。我前幾天剛買了這件衣服。,,,
249,謝謝。我前幾天剛買了這件衣服。,真的，你從哪裡得到它？,,,
250,真的，你從哪裡得到它？,我從梅西百貨買的。,,,
251,我從梅西百貨買的。,這太好了。,,,
252,這太好了。,再次感謝。你今天看起來也不錯。,,,
253,再次感謝。你今天看起來也不錯。,謝謝。我今天剛收到這雙鞋。,,,
254,謝謝。我今天剛收到這雙鞋。,真的嗎？它們是什麼類型的鞋子？,,,
255,真的嗎？它們是什麼類型的鞋子？,這些被稱為全明星查克·泰勒。,,,
256,這些被稱為全明星查克·泰勒。,我真的很喜歡那些。他們花了多少錢？,,,
257,我真的很喜歡那些。他們花了多少錢？,大約是四十美元。,,,
258,大約是四十美元。,我想我要去給自己買一雙。,,,
259,我非常喜歡你今天穿的衣服。,你做？我幾天前剛買了這件衣服。,,,
260,你做？我幾天前剛買了這件衣服。,說真的，你穿起來真的很好看。你從哪裡買的？,,,
261,說真的，你穿起來真的很好看。你從哪裡買的？,我從聖安妮塔購物中心的梅西百貨買的。,,,
262,我從聖安妮塔購物中心的梅西百貨買的。,我真的很喜歡那套衣服。,,,
263,我真的很喜歡那套衣服。,謝謝。我覺得你今天也很好看。,,,
264,謝謝。我覺得你今天也很好看。,謝謝。我今天早些時候剛買了這雙新鞋。,,,
265,謝謝。我今天早些時候剛買了這雙新鞋。,那些都很好。這些是什麼？,,,
266,那些都很好。這些是什麼？,這些是一些夾頭。,,,
267,這些是一些夾頭。,那些都很棒。他們多少錢？,,,
268,那些都很棒。他們多少錢？,我花了四十塊錢買的。,,,
269,我花了四十塊錢買的。,我想我可以去給自己找一雙夾頭。,,,
270,我覺得你今天看起來很可愛。,是對的嗎？這是一套全新的服裝。,,,
271,是對的嗎？這是一套全新的服裝。,你從哪家商店買的？,,,
272,你從哪家商店買的？,我去了梅西百貨並挑選了它。,,,
273,我去了梅西百貨並挑選了它。,我現在喜歡你的衣服。,,,
274,我現在喜歡你的衣服。,嗯，我覺得你今天也很好看。,,,
275,嗯，我覺得你今天也很好看。,謝謝。我早些時候在商店發現了這雙新鞋。,,,
276,謝謝。我早些時候在商店發現了這雙新鞋。,我認為那是一些非常好的鞋子。它們是什麼類型的？,,,
277,我認為那是一些非常好的鞋子。它們是什麼類型的？,這些都是卡盤。,,,
278,這些都是卡盤。,你的鞋子看起來真不錯。你花了多少錢買的？,,,
279,你的鞋子看起來真不錯。你花了多少錢買的？,他們只花了我大約四十美元。,,,
280,告訴我，你業餘時間喜歡做什麼？,我喜歡繪畫。,,,
281,我喜歡繪畫。,你知道如何繪畫嗎？,,,
282,你知道如何繪畫嗎？,是的，我願意。,,,
283,是的，我願意。,什麼時候學會怎麼做的？,,,
284,什麼時候學會怎麼做的？,我在高中時就學過。,,,
285,我在高中時就學過。,哦，那你上過美術課嗎？,,,
286,哦，那你上過美術課嗎？,是的，我喜歡那堂課。,,,
287,是的，我喜歡那堂課。,我看你很有才華。,,,
288,我看你很有才華。,非常感謝。,,,
289,非常感謝。,我希望我有這樣的天賦。,,,
290,我希望我有這樣的天賦。,我確信你有才華。它只是被隱藏了。,,,
291,你喜歡做什麼類型的事情？,我一直都喜歡畫畫。,,,
292,我一直都喜歡畫畫。,我不知道你會畫畫。,,,
293,我不知道你會畫畫。,我每隔一段時間就會這樣做。,,,
294,我每隔一段時間就會這樣做。,您知道如何做到這一點多久了？,,,
295,您知道如何做到這一點多久了？,我第一次學會如何做是在高中。,,,
296,我第一次學會如何做是在高中。,你上過什麼藝術課什麼的嗎？,,,
297,你上過什麼藝術課什麼的嗎？,那是我最喜歡的課。,,,
298,那是我最喜歡的課。,你必須有才華。,,,
299,你必須有才華。,謝謝。,,,
300,謝謝。,要是我有才華就好了。,,,
301,要是我有才華就好了。,你有才華。你只是還不知道它是什麼。,,,
302,你有什麼嗜好嗎？,當我有時間的時候，我有時會畫畫。,,,
303,當我有時間的時候，我有時會畫畫。,哦，你真的這樣做嗎？,,,
304,哦，你真的這樣做嗎？,我經常這樣做。,,,
305,我經常這樣做。,你一直都知道如何繪畫嗎？,,,
306,你一直都知道如何繪畫嗎？,我在高中時被教如何繪畫。,,,
307,我在高中時被教如何繪畫。,你上過美術課嗎？,,,
308,你上過美術課嗎？,確切地說，這是我最喜歡的課。,,,
309,確切地說，這是我最喜歡的課。,嗯，你這麼有才華真是太好了。,,,
310,嗯，你這麼有才華真是太好了。,我很感激。,,,
311,我很感激。,天賦是一件偉大的事情，我希望我有一個。,,,
312,你最喜歡的電影是？,我最喜歡的電影非常糟糕。,,,
313,我最喜歡的電影非常糟糕。,哦，這是為什麼？,,,
314,哦，這是為什麼？,這是我見過的最有趣的電影。,,,
315,這是我見過的最有趣的電影。,這是真的。這是一部非常有趣的電影。,,,
316,這是真的。這是一部非常有趣的電影。,你以前見過嗎？,,,
317,你以前見過嗎？,是的，我在這部電影上映的第一天就看了它。,,,
318,是的，我在這部電影上映的第一天就看了它。,整部電影你都沒笑嗎？我做到了。,,,
319,整部電影你都沒笑嗎？我做到了。,我也是。那部電影讓我熱淚盈眶。,,,
320,我也是。那部電影讓我熱淚盈眶。,我也是。,,,
321,我也是。,如果你想來觀看的話，我家裡有它的 DVD 版本。,,,
322,如果你想來觀看的話，我家裡有它的 DVD 版本。,好的，咱們走吧。,,,
323,你最喜歡看哪部電影？,我不得不說，我最喜歡的電影非常糟糕。,,,
324,我不得不說，我最喜歡的電影非常糟糕。,是對的嗎？為什麼？,,,
325,是對的嗎？為什麼？,老實說，這是我很長一段時間以來看過的最有趣的電影之一。,,,
326,老實說，這是我很長一段時間以來看過的最有趣的電影之一。,你說得對。那部電影很搞笑。,,,
327,你說得對。那部電影很搞笑。,我沒想到你看過那部電影。,,,
328,我沒想到你看過那部電影。,它出來的那天我就去看了。,,,
329,它出來的那天我就去看了。,整部電影我都在笑。,,,
330,整部電影我都在笑。,我也忍不住笑了。,,,
331,我也忍不住笑了。,同樣在這裡。,,,
332,同樣在這裡。,我買了這部電影。你願意來我家看嗎？,,,
333,我買了這部電影。你願意來我家看嗎？,當然。,,,
334,在你看過的每一部電影中，你最喜歡哪一部？,我不得不說《超級壞》是有史以來最好的電影。,,,
335,我不得不說《超級壞》是有史以來最好的電影。,你是這麼想的，怎麼會呢？,,,
336,你是這麼想的，怎麼會呢？,嗯，superbad 超有趣。,,,
337,嗯，superbad 超有趣。,你沒有說謊，我發現那部電影非常有趣。,,,
338,你沒有說謊，我發現那部電影非常有趣。,我不知道你以前看過《superbad》。,,,
339,我不知道你以前看過《superbad》。,我確保在它發布的第一天就去排隊看它。,,,
340,我確保在它發布的第一天就去排隊看它。,整部電影我都忍不住笑。,,,
341,整部電影我都忍不住笑。,我一直在歇斯底里地大笑；之後我的腹部肌肉就痛。,,,
342,我一直在歇斯底里地大笑；之後我的腹部肌肉就痛。,這正是我的感受。,,,
343,這正是我的感受。,當這部電影以 DVD 形式發行時，我收到了，你想過來嗎？,,,
344,你喜歡聽什麼類型的音樂？,我喜歡聽不同類型的音樂。,,,
345,我喜歡聽不同類型的音樂。,例如，像什麼？,,,
346,例如，像什麼？,我喜歡搖滾和 R&B。,,,
347,我喜歡搖滾和 R&B。,這是為什麼？,,,
348,這是為什麼？,我喜歡他們使用的不同樂器。,,,
349,我喜歡他們使用的不同樂器。,這是喜歡某件事的好理由。,,,
350,這是喜歡某件事的好理由。,是的，我也這麼認為。,,,
351,你喜歡聽什麼類型的音樂？,我喜歡聽各種音樂。,,,
352,我喜歡聽各種音樂。,哪一種？,,,
353,哪一種？,我喜歡聽搖滾和R&B。,,,
354,我喜歡聽搖滾和R&B。,為什麼喜歡這種類型的音樂？,,,
355,為什麼喜歡這種類型的音樂？,我喜歡他們使用的各種樂器。,,,
356,我喜歡他們使用的各種樂器。,我認為這是喜歡某件事的一個很好的理由。,,,
357,我認為這是喜歡某件事的一個很好的理由。,謝謝，我也有同樣的感覺。,,,
358,你最喜歡什麼類型的音樂？,我聽各種類型的音樂。,,,
359,我聽各種類型的音樂。,什麼流派？,,,
360,什麼流派？,我喜歡聽搖滾和 R&B。,,,
361,我喜歡聽搖滾和 R&B。,您對這種類型的音樂有興趣嗎？,,,
362,您對這種類型的音樂有興趣嗎？,我喜歡他們使用的不同類型的樂器。,,,
363,我喜歡他們使用的不同類型的樂器。,這是喜歡某種音樂的完美理由。,,,
364,星期五你去看籃球賽了嗎？,不，我沒能做到。,,,
365,不，我沒能做到。,你錯過了一場非常精彩的比賽。,,,
366,你錯過了一場非常精彩的比賽。,哦真的嗎？誰贏了？,,,
367,哦真的嗎？誰贏了？,我們學校做到了。他們打得非常好。,,,
368,我們學校做到了。他們打得非常好。,太糟糕了我很忙。我真的很想去。,,,
369,太糟糕了我很忙。我真的很想去。,是的，你應該有。這真的很令人興奮。,,,
370,是的，你應該有。這真的很令人興奮。,那麼比數是多少呢？,,,
371,那麼比數是多少呢？,比數是101-98。,,,
372,比數是101-98。,夥計，那是一場非常接近的比賽。,,,
373,夥計，那是一場非常接近的比賽。,這就是它如此偉大的原因。,,,
374,這就是它如此偉大的原因。,我會確保並完成下一項任務。,,,
375,你能參加週五晚上的籃球比賽嗎？,我沒能做到。,,,
376,我沒能做到。,你應該在場的。很激烈。,,,
377,你應該在場的。很激烈。,是對的嗎。誰最終獲勝？,,,
378,是對的嗎。誰最終獲勝？,我們隊勝利了。,,,
379,我們隊勝利了。,我希望那天晚上我有空。我有點生氣我沒有去。,,,
380,我希望那天晚上我有空。我有點生氣我沒有去。,這是一場很棒的比賽。,,,
381,這是一場很棒的比賽。,比賽結束時比分是多少？,,,
382,比賽結束時比分是多少？,我們隊以101-98獲勝。,,,
383,我們隊以101-98獲勝。,聽起來這是一場勢均力敵的比賽。,,,
384,聽起來這是一場勢均力敵的比賽。,這就是它如此出色的原因。,,,
385,這就是它如此出色的原因。,下一場比賽，我一定會去的。,,,
386,我本來想問你是否看了周五的籃球比賽。,我想去，但是去不了。,,,
387,我想去，但是去不了。,這是一場很棒的比賽。,,,
388,這是一場很棒的比賽。,可惜我沒能做到。誰贏了？,,,
389,可惜我沒能做到。誰贏了？,我們隊打得很努力，贏了。,,,
390,我們隊打得很努力，贏了。,我真的希望我能去看比賽。,,,
391,我真的希望我能去看比賽。,這是有史以來最好的比賽。,,,
392,這是有史以來最好的比賽。,那麼請告訴我最終的分數。,,,
393,那麼請告訴我最終的分數。,對方隊以101-98輸了3分。,,,
394,對方隊以101-98輸了3分。,這一定是一場勢均力敵的比賽。,,,
395,這一定是一場勢均力敵的比賽。,確實如此。你應該走了。,,,
396,這個週末你在做什麼？,我要和一個朋友去看電影。你呢？,,,
397,我要和一個朋友去看電影。你呢？,我不肯定。,,,
398,我不肯定。,好吧，你想跟我一起去看電影嗎？,,,
399,好吧，你想跟我一起去看電影嗎？,你要看什麼電影？,,,
400,你要看什麼電影？,我不肯定。有什麼想看的嗎？,,,
401,我不肯定。有什麼想看的嗎？,我想不出什麼。,,,
402,我想不出什麼。,那麼，你想去嗎？,,,
403,那麼，你想去嗎？,不，謝謝，也許下次吧。,,,
404,不，謝謝，也許下次吧。,好的聽起來不錯。,,,
405,你知道這個週末你要做什麼嗎？,我要和我的一個朋友去看電影。你呢？,,,
406,我要和我的一個朋友去看電影。你呢？,我不知道。,,,
407,我不知道。,你想和我和我的朋友一起看電影嗎？,,,
408,你想和我和我的朋友一起看電影嗎？,你知道你要看什麼電影嗎？,,,
409,你知道你要看什麼電影嗎？,我不知道，但你想看哪部電影嗎？,,,
410,我不知道，但你想看哪部電影嗎？,我想不到。,,,
411,我想不到。,好吧，你想去嗎？,,,
412,好吧，你想去嗎？,謝謝你邀請我，但我想我會過去。,,,
413,謝謝你邀請我，但我想我會過去。,好的。那麼下次吧。,,,
414,你對這個週末想做什麼有什麼想法嗎？,我要和我的朋友一起去電影院。你會怎樣做？,,,
